character,dialogue
Chandler," Tamam. Bak, buraya gireceğim ve bana hiçbir şey almayacaksın."
Joey,"  Hayır, hayır, yapamazsın, yapamazsın, tamam, yapamazsın, onun incilerini alamazsın, yapamazsın, yapamazsın, yapamazsın."
Chandler, Neden olmasın?!
Joey," Aman Tanrım. Şey, tamam, işte mesele bu, mesele bu, tamam, mesele şu..."
Chandler, Mesele ne?
Joey, Tamam. 'Mattress King' showroom'una gittim ve Janice'i eski kocasını öperken gördüm.
Chandler,  Ne?
Joey, Ofisindeydiler.
Chandler," Şey, o bunu yapmazdı, o benimle, o benimle."
Joey," Sana söylüyorum dostum, gördüm."
Chandler," Evet, peki, yanılıyorsun! Tamam, yanılıyorsun."
Joey," Yanılmıyorum! Keşke yanılmış olsaydım. Üzgünüm. Bahse girerim baryumlu lavman şimdi kulağa o kadar da kötü gelmiyordur, değil mi?"
Monica, Bir topluluk olarak daha mantıklı.
Rachel, Doğru.
Monica," Ayrıca, şapkanın üzerindeki ilgiyi dağıtıyor."
Phoebe,  Hayır! Oh! Yaşıyorsun! Yaşıyorsun!
Rachel," Bak Pheebs, sana kimsenin ölmeyeceğine söz vermiştim, değil mi?"
Phoebe," Evet, peki, bunu göreceğiz. Telefonunu kullanabilir miyim? Tanıdığım herkesi aramak istiyorum."
Monica," Elbette, paramız yok, devam et."
Phoebe,"  'Hey! Ölmedin! Tamam, görüşürüz!'"
Ben, Monica.
Monica, Aman Tanrım! Az önce adımı söyledi! Duydun mu?
Ben, Monica bang!
Rachel," Tamam, duydum."
Monica, Az önce 'Monica bang' mi dedi?
Rachel, Uh-huh.
Monica, Aman Tanrım! Beni ihbar edecek!
Ben, Monica bang!
Monica," Oh-ho-ho, tatlım, tatlım, artık bunu söylemeyi bırakmalısın. Önemli bir şey değil, bahsetmeye bile değmez, hepimiz bunu her zaman yapıyoruz. Bak, bunu izle, Ben, Ben, Ben.  Ow, Monica bang!  Herkes bang.  Ben bang.  Rachel bang.  Bang, Rachel bang! Ah, bu eğlenceli değil mi?"
Rachel,"  Şuna bak!  Şuna bak!  Hepimiz yapıyoruz.  Tamam, şimdi duruyorum."
Monica, İyi misin?
Rachel," Ah evet! Biliyor musun, eğer bir yatak başlığı değilse, buna değmez."
Janice,  Bing-a-ling'im nasıl?
Chandler," Ah, bilmiyorum, sen söyle. Bana söylemek istediğin bir şey varsa, çünkü eğer ah, söylemen gerekiyorsa, eğer istersen, söyle bana."
Janice, Gözlerin neden bu kadar beyaz?
Chandler," Sen söyle! Belki de eski sevgilimle şakalaşıyordum! Aman Tanrım, hayır, hayır, hayır, hayır, hayır, o sendin!!"
Janice, Aman Tanrım!!
Chandler, Tamam!
Janice, Nereden bildin?
Chandler," Joey bana söyledi, ikinizi öpüşürken görmüş."
Janice, Parkta mı?
Chandler, Hayır! Ofisinde! Kaç öpücük vardı?
Janice, Sadece o ikisi!
Chandler," N-n-neden, n-neden, neden, neden öpüşme vardı!? Öpüşme olmamalı!!"
Janice," Ah, üzgünüm tatlım, çok, çok,  haaaaa! Çok, çok üzgünüm, sadece  haaaaaa! Ama ben, oh olan şey, B-B-Ben nefes alamıyorum. Bana bir çanta veya başka bir şey getirebilir misin?"
Chandler,  İşte.
Janice, Fiş.
Chandler," Alıyorum! Tamam bak, bilmem gerek. Benimle işin bitti mi?  Onunla işin bitti mi?  Onu hala seviyor musun?  Beni hala seviyor musun?  Tamam bak,  Burada gerçek bir cevaba ihtiyacım olacak tamam mı, o mu yoksa ben mi?"
Janice, Bilmiyorum.
Phoebe,  Tamam. Eğer hayattaysan telefonunu aç!
Monica," Tamam, Ben, eğer küçük sevişme olayını anlatmazsan, babana akşam yemeğinde dondurma yediğini söylemeyeceğim."
Rachel," Monica, bir numara, bence Ben rüşvet kavramını anlamıyor ve iki numara, ben...   Ne?!"
Joey, İki numara dedin.
Rachel, Ben de bir numara dedim.
Joey, Biliyorum.
Ross,  Herkese merhaba!
Rachel, Merhaba!
Ross, Küçük oğlum nasıl?
Rachel," Mükemmel, hiç bu kadar iyi olmamıştı."
Ross,"  Ne yaptın, onu balina avına mı çıkardın?"
Ben, Monica.
Ross," Aman Tanrım, az önce adını söyledi, harika! İyi iş çıkardın Ben."
Ben, Monica bang!
Monica," Ah doğru ya, patlasaydım sesim böyle çıkardı."
Phoebe, Vay canına! Lanet bozuldu! Tanıdığım herkesi aradım ve herkes hayatta.
Joey, Uh.
Phoebe, Ne?
Joey, Çirkin Çıplak Adam çok hareketsiz görünüyor.
Phoebe," Aman Tanrım! Onu öldürdüm! Birini daha öldürdüm! Ve bu lanet de giderek güçleniyor, bu kadar büyük bir şeyi devirmek için."
Rachel, Belki de sadece şekerleme yapıyordur.
Joey," Sana söylüyorum, bu sabah hareket etmedi."
Monica," Tamam, birini aramalıyız."
Ross, Ve onlara ne diyeceğiz? Sürekli baktığımız çıplak adam hareket etmiyor.
Rachel," Peki, hayatta olup olmadığını öğrenmeliyiz."
Monica, Bunu nasıl yapacağız? Hiçbir yolu yok.
Joey," Peki, bir yolu var. Penceresi açık, diyorum, onu dürteceğiz."
Joey, Hey! Çin yemeği aldığımızda hiçbir sebep olmadan tüm o yemek çubuklarını nasıl sakladığımızı biliyor musun?
Chandler, Evet.
Joey," Peki, şimdi bir sebebimiz var."
Chandler, Ne?
Joey," Peki, çok uzun bir dürtme cihazı yapıyoruz."
Chandler, Tamam.
Joey," Hey, sorun ne?"
Chandler, Janice ile konuştum.
Joey," Aman Tanrım, ona geri mi dönüyor?"
Chandler," Bilmiyor. İkimizi de sevdiğini söylüyor. Biliyor musun bu sabah uyandım ve aşıktım, yani mutluydum. Biliyor musun o on iki paket prezervatif aldığım için bana hakkını verdi. Ve şimdi onları geri bile veremiyorum, çünkü fişi boğazına kaçırdı!"
Joey," Ne yapacaksın, ah, ne yapacaksın?"
Chandler," Bilmiyorum, biliyorsun. Ne, ne, sen ne yapacaksın?"
Joey," Şey, ne yapacağım önemli değil."
Chandler," Hadi, söyle bana."
Joey," Tamam, muhtemelen bunu duymak istemeyeceksin ama ah, eğer ben olsaydım ve bu sadece ben olsaydım,  ah, çekilirdim."
Chandler," Ne?  Ne, ne hakkında konuşuyorsun?"
Joey," Birlikte bir çocukları var, biliyor musun. Onlar, onlar bir aile gibiler ve eğer, bilmiyorum, bunu başarma şansları varsa, bunun önünde duran adam olmak istemezdim. İyi misin? Ah, gelip çıplak bir adamı dürtmek ister misin?"
Ross," Eh, sonunda uyuyor. Şu kafasındaki şişlik hakkında?"
Rachel," Sen, sen, emin misin, bunun yeni bir şişlik olduğundan? Yani, kusura bakma, Ben'i her zaman oldukça şiş kafalı bir çocuk olarak düşündüm."
Ross," Kafasını çarpması sorun değil, çocuklar her zaman kafalarını çarparlar, bilirsin, ilk defa bebek bakıcılığı yapıyordun, elinden gelenin en iyisini yaptığını düşündüm."
Rachel,  Yaptım!
Ross, Biliyorum! Diyorum ki onları her zaman izlemelisin.
Rachel, İzledim!! İzledim! İzledim! Monica'nın kafasını o şeye çarpmasını izledim!
Ross, Monica mı yaptı?
Ross, Monica?
Monica, Evet.
Ross," Şey, bugün Ben'de garip bir şey fark ettin mi?"
Monica, Hayır. Neden?
Ross," Şey, sadece onunla oynuyordum ve bilirsin, eskiden çok iyi olduğu alfabe şarkısını yapıyorduk, ama aniden 'e' ve 'f'yi atlamaya başladı. Sanki ah, bilmiyorum, kafasından düştüler."
Monica, Gerçekten mi?!
Ross," Ah, ve ayrıca, yürüyüşü de komik, sol bacağı sağ bacağından çok daha hızlı hareket ediyor ve orada sadece bir şekilde..."
Monica," Aman Tanrım, bebeğini mahvettim!!"
Rachel, Umarım cehennemdeyken bile komiktir.
Monica,  Seni pislik! O çocuğu ne kadar sevdiğimi biliyorsun!
Ross, Monica bang! Monica bang!  Ow!
Rachel, Şapkayı ben alırım.
Chandler," Janice, sana söylemem gereken bir şey var ve bunu atlatmama izin vermeni istiyorum çünkü bu, bu, bu kolay olmayacak."
Janice, Tamam.
Chandler," Bence Gary ile geri dönmelisin. Bir aileyi dağıtan adam olmak istemiyorum, bilirsin, annemle babam ayrıldığında, bunun sebebi o adamdı. Onu her gördüğümde, ""Sen, birlikte olmamalarının sebebi sensin."" diye düşünürdüm ve o adamdan nefret ederdim. Ve ne kadar iyi olduğu veya babamı ne kadar mutlu ettiği önemli değildi."
Janice, Vay canına!
Chandler," Evet, peki. Doğru olanı bu."
Janice," Ah! Haklısın. Aman Tanrım. Ama, 'elveda' diyebilmemden önce, Chandler, bilmeni istediğim bir şey var. Sana karşı hissettiklerim, sanki Lionel Richie'nin ne hakkında şarkı söylediğini sonunda anlıyorum. Biliyor musun, yani sahip olduğumuz şey, film aşkı gibi, sen benim ruh eşimsin ve hayatımızın geri kalanını birlikte geçiremeyeceğimize inanamıyorum."
Chandler, O zaman beni bırakma!
Janice, Ne?
Chandler," Söylediklerimi unut, gevezelik ediyordum! Beni seç!"
Janice," Hayır, haklıydın, haklıydın. Yani, B-B-ben evliliğime bir şans daha vermeliyim."
Chandler," Hayır, vermemelisin! Hayır, hayır, hayır, boşanmana bir şans daha vermen gerektiğini söylüyorum."
Janice,  Üzgünüm.
Chandler, Ohhh. Gitme.
Janice," Hayır, B-B-Gitmeliyim."
Chandler, Hayır. Hayır! Hayır! Hayır!
Janice," Tatlım, tatlım, insanlar bakıyor."
Chandler, Umurumda değil!  Umurumda değil!!
Janice," Evet, şey, ben, ben şimdi gidiyorum."
Chandler, Gidemezsin! Ayakkabın bende!
Janice, Hoşça kal Chandler Bing.
Gunther, Rachel'ın bordosu var.
Joey," Tamam şimdi unutmayın, bu kadar büyük ve uzun bir şeyi idare etmek zor olacak, neyse ki bu alanda çok deneyimim var."
Ross," Lütfen buraya odaklanabilir miyiz, çıplak bir adamın hayatı tehlikede!"
Phoebe, Sana onun öldüğünü söylüyorum. Burada bir çubuğun üzerinde ölü ve şişman bir adam göreceğiz.
Joey," Tamam, bayanlar ve baylar, dürtelim.  Sabit. Sabit. Tamam, biraz daha yukarı. Açıya dikkat et. Tamam, tamam, pencereye yaklaşıyoruz  İğneyi geçir. İğneyi geçir."
Phoebe, Yaşıyor! Yaşıyor!!!
Monica, Ve yine de onu dürtmeye devam ediyoruz.
Joey," Tamam, cihazı geri çek, cihazı geri çek."
Ross, Mutlu görünmüyor.
Rachel," Hey-hey, şimdi bize dürtme cihazını gösteriyor."
Joey," Hey, bu asla buraya kadar gelmeyecek, dostum!"
Chandler,  Seni kollarımda sıkıca tutacağım.  Cazibene karşı koyamıyorum. Ve aşka...
Phoebe,  Aşk....
Chandler ve Phoebe," Senin için aptal olurum. Eminim, umursamadığımı biliyorsun."
Chandler,"  Hayır, umursamadığımı biliyorsun."
Chandler ve Phoebe, Evet! Sen benim için dünya demeksin. Oh...
Chandler, Biliyorum.
Phoebe, Biliyorum.
Chandler, Buldum.
Phoebe, Buldum....
Chandler ve Phoebe," ...senin içinde, benim sonsuz  aşkım.  Benim sonsuz aşkım."
Çocuklar,  Evet! Evet! Evet! Evet! Awww!
Phoebe," Hey, senin de Şükran Günün, bilirsin, futbol izlemek yerine yardım edebilirsin."
Çocuklar, Yapacağız.
Monica," Tamam, Rachel, şekerlemeleri eş merkezli dairelere koymak istiyorsun."
Rachel," Hayır Mon, onları eş merkezli dairelere koymak istiyorsun. Bunu yapmak istiyorum."
Monica, Her yıl.
Phoebe," Biliyor musun, bir kereliğine oturup bunlardan birini izlemeye çalışacağım. ."
Ross, Devre arası.
Joey," Hey, kim topu biraz etrafta dolaştırmak, belki de biraz üçe üç oynamak ister?"
Rachel, Oh! Çok eğlenceli olurdu!
Phoebe," Oh, ben de oynayabilir miyim? Hiç futbol oynamadım, hiç."
Joey," Harika, Chandler'ı sen kaplayabilirsin."
Chandler," Hayır, hayır, hayır, oynamak istemiyorum, gerçekten oynamak istemiyorum."
Joey, Hadi ama dostum! Janice ile ayrıldığınızdan beri hiçbir şey yapmak istemiyorsun.
Chandler, Bu doğru değil! Bornozumu giyip bütün gün fıstık ezmesi yemek istiyordum. Sabah içmeye başlamak istiyordum. Hedeflerim olmadığını söyleme!
Joey," Chandler, onu unutmaya başlamalısın. Tamam, oynarsan biraz temiz hava alırsın, belki Janice'i aklından çıkarırsın ve oynamazsan, takımlar eşit olmayacağı için herkes sana kızar. Hadi."
Chandler," Evet, tamam, oynarım."
Phoebe, Yaşasın!!
Rachel, Hadi yapalım! Ross?
Ross, Ne?
Rachel, Futbol oynamak istiyor musun?
Ross," Şey, Monica ve ben futbol oynamamalıyız."
Joey, Kim dedi? Annen mi?
Monica ve Ross, Evet.
Monica," Şey, her Şükran Günü'nde, 'Geller Bowl' adında bir dokunmatik futbol maçımız olurdu."
Chandler," Hayır, hayır, hayır, bunu gururla söylüyorsun."
Monica," Neyse, Ross ve ben her zaman kaptandık ve şey, biraz rekabetçi bir hal aldı ve bir yıl, Geller Bowl VI'da, yanlışlıkla Ross'un burnunu kırdım."
Ross," Kesinlikle kaza değildi. Beni etiketlemek üzere olduğumu gördü, bu yüzden büyük şişman büyükanne kolunu dirseğini yüzüme fırlattı. Ve koşmaya devam et."
Monica," Bu arada, galibiyet golünü atmak için."
Ross," Whoa, whoa, whoa, ho, ho, ho, oyunu kazanamadın, gol sayılmadı, çünkü muhteşem derecede yasadışı, oh ve bu arada vahşi burun kırma."
Monica,  Oyunu ben kazandım.
Ross, Evet! O zaman neden Geller Kupası'nı almadın?
Rachel," Şey, bir Geller Kupası vardı?"
Ross," Evet, oyunu kazanırsan aldığın kupaydı. Ama babamız, 'o oyunu kimse kazanmadı' dedi ve kavgalarımızdan bıktı, bu yüzden kupayı aldı ve...  onu göle attı."
Chandler, Ve lanet kalktı mı?
Ross, Neyse. İşte o zaman annemiz bir daha asla futbol oynamayacağımızı söyledi.
Monica," Biliyor musun, bence bir oyun oynamalıyız. Yani hadi ama, on iki yıl oldu."
Ross, Seni bir saniye görebilir miyim?
Monica,  Bir kere!!
Ross," Tamam, oynayacağız."
Chandler," Ama bir dakika bekle, oraya nasıl gideceğiz ki, çünkü annem caddeyi geçmeme izin vermiyor."
Monica, Tamam. Hadi içeri getirelim.
Rachel," Hayır bekle, tatlım, tatlım bana at, bana at."
Ross, Al bakalım.
Rachel,  Neredeyse suratıma çarpıyordu.
Joey," Tamam, kaptanları seçmeliyiz."
Chandler, Ve sonra Tineals.
Phoebe," Tamam, peki buna nasıl karar vereceğiz?"
Monica," Peki, neden sadece tavşan yapmıyoruz."
Monica ve Ross,  Tavşan!
Monica," Tamam, Ross ve ben kaptan gibiyiz. Tamam, yani, ilk önce ben tavşan yaptım, bu da ilk ben seçeceğim anlamına geliyor. Joey."
Joey, Teşekkür ederim.
Rachel," Monica, ben senin en iyi arkadaşınım."
Ross," Tatlım, endişelenme, sen seçileceksin. Chandler."
Rachel, Ross!
Monica, Phoebe.
Ross," Tatlım, şimdi seni seçiyorum."
Rachel, Beni seçmiyorsun! Bana takılıp kaldın!
Ross," Tamam. Tamam. Hadi bakalım, çöp kutusundan ışık direğine kadar oynayalım. Tamam. İki elle temas, başlayacağız."
Monica," Tamam millet dinleyin, tekrar yağlamam gerekene kadar tam yirmi sekiz dakikam var."
Chandler, Vay canına! Tıpkı profesyonellerde olduğu gibi.
Monica, Toplanın.
Joey,"  Tamam, toplanın, hemen şuraya."
Phoebe," Beni bekle! Beni bekle! Beni bekle! Harika, bu benim ilk toplanım."
Monica, Tamam.
Phoebe," Tamam, peki Chandler hakkında ne düşünüyorsunuz?"
Monica," Tamam, Phoebe ne yaptığını biliyorsun, değil mi?"
Phoebe, Evet.
Monica," Tamam, Joey yakalayacak ve sen ve ben blok yapacağız."
Phoebe, Blok ne?
Monica," Phoebe, ne yaptığını bildiğini söylediğini sanıyordum?"
Phoebe, Hayatta demek istediğini sanıyordum.
Monica, Mola.
Chandler, Top Janice. Top Janice.
Ross, Oww!! Orospu çocuğu...!! Ow! Hadi!
Chandler," Özür dilerim. Özür dilerim. Biliyor musun, sadece atacağız."
Joey, Anladım.
Phoebe, Hadi! Hadi! Hadi!
Monica, Gol!! 7-0!
Rachel,  İyi misin?
Ross," Hadi, gidelim!"
Monica, Kaybedenler yürür!
Ross," Evet, kaybedenler konuşur!"
Chandler," Hayır, hayır, hayır, aslında kaybedenler kafiye yapar."
Chandler,  Yirmi üç!! Yetmiş dört!!  Tüfekle mi gitmek istiyorsun?
Ross, Evet!
Chandler,  Yürüyüş!
Monica ve Joey, Bir-Mississippi. İki-Mississippi. Üç-Mississippi.
Rachel, Buraya!
Rachel,  Neredeyse onu yakalayacaktım!
Chandler, Harika! Şimdi skor 7'ye neredeyse 7.
Ross," Tamam,  bu oyunda, sağa doğru aşağı ve dışarı bir vuruş yapmanı istiyorum. Tamam. Kır!"
Rachel," Bekle, ne yapacağım?"
Ross," Sen, sen uzun vur."
Rachel," Bekle, ne kadar?"
Ross, Çok küçük görünmeye başlayana kadar.
Rachel, Tamam.
Ross, Kır!!
Joey, Hazır... yürüyüş!
Ross," Bir-Mississippi, iki-Mississippi, değiştir! Değiştir! Değiştir!!"
Chandler," Hayır, hayır, hayır, hayır, hayır!"
Joey," Haaaaa! Hey-hey, topumuzu durdurduğun için teşekkürler."
Kadın,  Amerikan futbolu mu oynuyorsun?
Joey," Evet! Vay canına, sanki bambaşka bir ülkedensin."
Kadın, Ben Hollandalıyım.
Joey," Merhaba, ben Joey."
Kadın, Ben Margha.
Joey," Üzgünüm Hollandalıyım, son kısmı anlayamadım."
Chandler,"  Hey Joey, futbol oynamak ister misin yoksa...  Merhaba, ben Chandler."
Margha," Merhaba, Chandler."
Joey, Adı Hollandalı ve ayrıca Marklan.
Margha, Margha.
Joey, Mar-klan.
Margha, Mar-gha.
Chandler, Mar-haaaan.
Monica," Hadi çocuklar! Hadi gidelim! Hadi, ikinci sıradayız."
Ross," Uh, merhaba, üçüncü sıradayız."
Monica," Hayır değil, ikinci sıradayız."
Ross, Vay canına!
Monica," Vay canına, ne?"
Ross, Hala böyle şeyler çekmen beni şaşırtıyor.
Monica, Ne çekiyorsun? İkinci sıradayız.
Ross," Tamam, ikinci sıradayız.  İhtiyacın olan tüm ikinci sıraları al."
Monica, Bunu duydum!
Ross," Eh, yüksek sesle söyledim."
Margha," Sorun değil, kalıp izlesem mi?"
Chandler ve Joey, Evet! Neden etrafta dolaşmıyorsun? Hemen oraya oturabilirsin.
Chandler," Eh, iyi geçti."
Joey, Sanırım öyle.
Chandler," Biliyor musun, numarasını sormayı düşünüyordum."
Joey," Sağ ol dostum, ama sanırım bunu kendim sorarsam daha güçlü bir ifade olur, bilirsin."
Chandler," Whoa-ho, whoa! Hayır, ben senin bahsettiğin Janice'i atlatma olayının bir parçası olarak, benim için düşünüyordum."
Joey," Ah, evet, o. Tamam, senin için çok şey ifade ediyor, onu sana vereceğim."
Chandler," Sağ ol. Ne, onu bana ver?! Ne demek istiyorsun? Sanki yapmasaydın bir şansım olmazmış gibi?"
Joey," Bunu yüksek sesle söylemek istemiyorum ama evet! Kendini kötü hissetme dostum, hepimizin güçlü yanları var. Sen sayılarla falan daha iyisin."
Chandler," Matematik!! Bana matematik veriyorsun! Tamam, bak ne diyeceğim, unut gitsin, kıza git, kimin alacağını göreceğiz."
Ross," Chandler, sola doğru bir direk deseni koşmanı istiyorum, tamam mı? Ve tatlım.."
Rachel," Evet, biliyorum, uzun git. Biliyor musun, sanki yaptığım tek şey gruptan ileri geri koşmak."
Ross," Şey, ah, sadece orada kalmak istiyorsun?"
Rachel, Bunu bir saniye görebilir miyim?
Ross, Evet.
Ross, Tamam. Kulübe! Yürüyüş!
Joey, Top kaybı!
Joey, Neyin var senin?! Bu benim en sevdiğim formam.
Chandler," Eh, şimdi iki tane oldu. Hey, matematikte iyiyim."
Joey," Tamam, bu kadar. Biliyor musun, onu sana verecektim. Ama şimdi, unut gitsin. Kendini çok kötü hissetmeye hazır ol."
Chandler," Hey! Eh, hayatım boyunca buna hazırlandım! Ya da senin hakkında kötü bir şey!"
Monica," Tamam, hadi çocuklar, hadi! Skor berabere ve zamanımız tükeniyor. Kırk iki!! Otuz sekiz!! Yürü!"
Phoebe," Ah, yakaladım!!  Ah! İyy! Kırık meme! Ow!"
Joey," Pheebs, koş!"
Monica," Koş, Phoebe, koş!"
Phoebe, Gol!! Gol!!
Ross," Uh, merhaba, zil çaldı. Sayılmaz."
Monica, Şaklatmadan sonra!
Ross, Şaklatmadan önce!
Joey, Sonra!!
Chandler, Önce!!
Rachel," Şimdi, gerçekten önemli mi?"
Hepsi, Evet!!
Phoebe," Tamam, tamam, bir gol attım. İlk golümdü. Yani?"
Ross," Oh Pheebs, bu harika. Sayılmaz."
Monica, Sayılır mı!
Ross," Aldatan, aldatan, kompulsif yiyen."
Phoebe, Aman Tanrım!
Monica," Biliyor musun, sorun değil, belki sen büyümemişsindir ama ben büyüdüm."
Ross," Oh-ho, tamam."
